Name,Updated Name,Link,Scientific Name,Status in Britain,Population Size In Breeding Season,Population Number,2 letter code,long code,Image Url,2nd Image,,habitat.Broad-leaved Woodland,habitat.Coniferous Woodland,habitat.Scrub & Bushy Commons,habitat.Heath & Dry Grassland,habitat.Open Upland Moor,habitat.Pasture & Grazed Fields,habitat.Arable Farmland,habitat.Marsh and Wet Grassland,habitat.Boggy Moorland,habitat.Reed Swamp & Fen,habitat.Open Coastal Habitat,habitat.Villages & Rural Areas,habitat.Towns & Cities,habitat.Lakes & Large Waterbodies,habitat.Ponds & Small Waterbodies,habitat.Rivers (2m wide or more),habitat.Streams (less than 2m),habitat.Coastal Estuaries,habitat.Rocky and Sandy Shoreline,eurobirdLink,foundIn
Lady Amherst’s Pheasant,,http://app.bto.org/birdfacts/results/bob3970.htm,Chrysolophus amherstiae,Introduced Breeder,1-10 Males,10,LM,LAAPH,,,,,,,,,,,,,,,,,,,,,,,,"Wooded slopes, bamboo thickets"
Golden Oriole,Eurasian Golden Oriole,http://app.bto.org/birdfacts/results/bob15080.htm,Oriolus oriolus,"Scarce Breeder, Passage Visitor",1-10 Pairs,20,OL,GOLOR,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/ORIORI/p52weeks,Deciduous woodland
Night Heron,,http://app.bto.org/birdfacts/results/bob1040.htm,Nycticorax nycticorax,"Escaped Breeder, Scarce Visitor",10 - 100 Birds,100,NT,NIGHE,,,,,,,,,,,,,,,,,,,,,,,,"Marshes, ponds, lakes and mangrove"
Kentish Plover,,http://app.bto.org/birdfacts/results/bob4770.htm,Charadrius alexandrinus,"Former Breeder, Scarce Visitor",10 - 100 Birds,100,KP,KENPL,,,,,,,,,,,,,,,,,,,,,,,,"Beaches, mudflats, rivers, lakes"
White Stork,,http://app.bto.org/birdfacts/results/bob1340.htm,Ciconia ciconia,"Former Breeder, Scarce Visitor",10 - 100 Birds,100,OR,WHIST,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/CICCIC/p52weeks,"Steppe, grassland & Farmland, often near humans"
Spoonbill,Eurasian Spoonbill,http://app.bto.org/birdfacts/results/bob1440.htm,Platalea leucorodia,"Former, but now Scarce, Breeder, Scarce Visitor",10 - 100 Birds,100,NB,SPOON,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/PLALEU/p52weeks,"Lakes, marshes, swamps & mudflats"
Ruddy Duck,,http://app.bto.org/birdfacts/results/bob2250.htm,Oxyura jamaicensis,Introduced Breeder,10 - 100 Birds,100,RY,RUDDU,,,,,,,,,,,,,,,,,,,,,,,,"Marshes, lakes, on migration also rivers, estuaries"
Aquatic Warbler,,http://app.bto.org/birdfacts/results/bob12420.htm,Acrocephalus paludicola,Passage Visitor,10 - 100 Birds,100,AQ,AQUWA,,,,,,,,,,,,,,,,,,,,,,,,Open marsh
Rough-legged Buzzard,,http://app.bto.org/birdfacts/results/bob2900.htm,Buteo lagopus,Passage/Winter Visitor,10 - 100 Birds,100,RF,ROLBU,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/BUTLAG/p52weeks,"Tundra, open coniferous forest, farmland"
Great Grey Shrike,,http://app.bto.org/birdfacts/results/bob15201.htm,Lanius excubitor,Passage/Winter Visitor,10 - 100 Birds,100,SR,GRGSH,,,,,,,,,,,,,,,,,,,,,,,,
Bluethroat,,http://app.bto.org/birdfacts/results/bob11060.htm,Luscinia svecica,"Scarce Breeder, Passage Visitor",10 - 100 Birds,100,BU,BLUTH,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/LUSSVE/p52weeks,"Damp scrub, tundra"
Red-necked Grebe,,http://app.bto.org/birdfacts/results/bob100.htm,Podiceps grisegena,"Scarce Breeder, Winter Visitor",10 - 100 Birds,100,RX,RENGR,,,,,,,,,,,,,,,,,,,,,,,,"Reedy lakes & large ponds, Winter seacoast & large lakes"
